County,est_acute_beds_available,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29
Orange,721,"36 [36, 36]","37 [35, 39]","38 [35, 42]","39 [34, 46]","39 [33, 50]","40 [31, 54]","40 [29, 59]","40 [27, 64]","43 [28, 71]","46 [29, 78]","49 [31, 86]","53 [32, 95]","57 [34, 105]","61 [36, 116]","65 [38, 128]","70 [39, 141]","75 [41, 156]","80 [44, 172]","86 [46, 190]","92 [48, 210]","98 [50, 232]","106 [53, 256]","113 [56, 283]","121 [59, 312]","130 [62, 345]","139 [65, 381]","149 [68, 420]","160 [71, 464]","171 [75, 512]","184 [79, 566]","197 [83, 625]"
Placer,44,"7 [7, 7]","7 [7, 8]","8 [7, 8]","8 [7, 9]","8 [7, 10]","8 [6, 11]","8 [6, 12]","8 [5, 13]","9 [6, 14]","9 [6, 16]","10 [6, 17]","11 [6, 19]","11 [7, 21]","12 [7, 23]","13 [8, 26]","14 [8, 28]","15 [8, 31]","16 [9, 35]","17 [9, 38]","18 [10, 42]","20 [10, 47]","21 [11, 51]","23 [11, 57]","24 [12, 63]","26 [12, 69]","28 [13, 76]","30 [14, 84]","32 [14, 93]","34 [15, 103]","37 [16, 114]","40 [17, 125]"
Riverside,475,"23 [23, 23]","24 [23, 25]","25 [23, 28]","25 [22, 30]","26 [22, 33]","26 [20, 36]","26 [19, 39]","26 [17, 42]","28 [18, 46]","30 [19, 51]","32 [20, 57]","35 [21, 62]","37 [22, 69]","40 [23, 76]","43 [25, 84]","46 [26, 93]","49 [27, 103]","53 [29, 113]","56 [30, 125]","60 [32, 138]","65 [33, 152]","69 [35, 168]","74 [37, 186]","80 [38, 205]","85 [40, 226]","91 [42, 250]","98 [45, 276]","105 [47, 305]","113 [49, 336]","121 [52, 371]","129 [54, 410]"
Sacramento,327,"16 [16, 16]","16 [16, 17]","17 [15, 19]","17 [15, 20]","17 [14, 22]","18 [14, 24]","18 [13, 26]","18 [12, 28]","19 [12, 31]","20 [13, 34]","22 [14, 38]","23 [14, 42]","25 [15, 46]","27 [16, 51]","29 [17, 57]","31 [17, 62]","33 [18, 69]","35 [19, 76]","38 [20, 84]","41 [21, 93]","43 [22, 102]","47 [23, 113]","50 [25, 125]","54 [26, 138]","57 [27, 152]","62 [29, 168]","66 [30, 186]","71 [32, 205]","76 [33, 226]","81 [35, 250]","87 [37, 276]"
San Bernardino,521,"27 [27, 27]","28 [27, 29]","29 [26, 32]","29 [26, 35]","30 [25, 38]","30 [24, 41]","30 [22, 45]","30 [20, 49]","33 [21, 54]","35 [22, 59]","38 [23, 66]","40 [25, 73]","43 [26, 80]","46 [27, 88]","50 [29, 98]","53 [30, 108]","57 [32, 119]","61 [33, 131]","65 [35, 145]","70 [37, 160]","75 [38, 177]","80 [40, 195]","86 [42, 216]","92 [45, 238]","99 [47, 263]","106 [49, 290]","114 [52, 320]","122 [54, 354]","131 [57, 390]","140 [60, 431]","150 [63, 476]"
San Diego,757,"50 [50, 50]","52 [50, 55]","53 [49, 60]","55 [48, 65]","56 [47, 71]","56 [44, 77]","57 [41, 84]","57 [38, 91]","61 [40, 100]","65 [42, 111]","70 [44, 122]","75 [46, 135]","80 [48, 149]","86 [51, 165]","92 [53, 182]","99 [56, 201]","106 [59, 222]","114 [62, 245]","122 [65, 270]","131 [68, 299]","140 [72, 330]","150 [75, 364]","161 [79, 402]","172 [83, 444]","185 [87, 490]","198 [92, 541]","212 [97, 597]","227 [101, 659]","244 [107, 728]","261 [112, 804]","280 [118, 887]"
San Francisco,231,"16 [16, 16]","17 [16, 18]","17 [16, 19]","18 [16, 21]","18 [15, 23]","18 [14, 25]","18 [13, 27]","18 [12, 29]","20 [13, 32]","21 [13, 36]","23 [14, 39]","24 [15, 43]","26 [16, 48]","28 [16, 53]","30 [17, 59]","32 [18, 65]","34 [19, 71]","37 [20, 79]","39 [21, 87]","42 [22, 96]","45 [23, 106]","48 [24, 117]","52 [25, 129]","55 [27, 143]","59 [28, 158]","64 [30, 174]","68 [31, 192]","73 [33, 212]","78 [34, 234]","84 [36, 259]","90 [38, 285]"
San Joaquin,51,"8 [8, 8]","8 [8, 9]","8 [8, 9]","9 [8, 10]","9 [7, 11]","9 [7, 12]","9 [6, 13]","9 [6, 14]","10 [6, 16]","10 [7, 17]","11 [7, 19]","12 [7, 21]","13 [8, 23]","13 [8, 26]","14 [8, 29]","16 [9, 31]","17 [9, 35]","18 [10, 38]","19 [10, 42]","20 [11, 47]","22 [11, 52]","24 [12, 57]","25 [12, 63]","27 [13, 70]","29 [14, 77]","31 [14, 85]","33 [15, 94]","36 [16, 103]","38 [17, 114]","41 [18, 126]","44 [18, 139]"
San Luis Obispo,49,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","1 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 7]"
San Mateo,168,"20 [20, 20]","21 [20, 22]","22 [20, 24]","22 [20, 26]","23 [19, 29]","23 [18, 31]","23 [17, 34]","23 [15, 37]","25 [16, 41]","26 [17, 45]","28 [18, 50]","30 [19, 55]","33 [20, 61]","35 [21, 67]","37 [22, 74]","40 [23, 81]","43 [24, 90]","46 [25, 99]","49 [26, 110]","53 [28, 121]","57 [29, 134]","61 [31, 148]","65 [32, 163]","70 [34, 180]","75 [35, 199]","80 [37, 219]","86 [39, 242]","92 [41, 267]","99 [43, 295]","106 [45, 326]","113 [48, 360]"
Santa Barbara,51,"7 [7, 7]","7 [7, 8]","8 [7, 9]","8 [7, 9]","8 [7, 10]","8 [6, 11]","8 [6, 12]","8 [5, 13]","9 [6, 14]","9 [6, 16]","10 [6, 17]","11 [7, 19]","11 [7, 21]","12 [7, 24]","13 [8, 26]","14 [8, 29]","15 [8, 32]","16 [9, 35]","17 [9, 39]","19 [10, 43]","20 [10, 47]","21 [11, 52]","23 [11, 57]","25 [12, 63]","26 [12, 70]","28 [13, 77]","30 [14, 85]","32 [14, 94]","35 [15, 104]","37 [16, 115]","40 [17, 127]"
Santa Clara,395,"60 [60, 60]","62 [60, 66]","64 [59, 72]","65 [58, 78]","67 [56, 85]","68 [53, 92]","68 [50, 100]","68 [45, 109]","73 [47, 120]","78 [50, 133]","84 [52, 147]","90 [55, 162]","96 [58, 179]","103 [61, 197]","110 [64, 218]","118 [67, 240]","127 [70, 265]","136 [74, 293]","146 [78, 324]","156 [82, 357]","167 [86, 394]","179 [90, 435]","192 [95, 481]","206 [100, 531]","221 [105, 586]","237 [110, 647]","254 [116, 714]","272 [121, 789]","291 [128, 871]","312 [134, 962]","335 [141, 1062]"
Santa Cruz,20,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]","2 [1, 7]"
Shasta,87,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","1 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 7]"
Solano,94,"6 [6, 6]","6 [6, 6]","6 [6, 7]","6 [6, 8]","6 [5, 8]","7 [5, 9]","7 [5, 10]","7 [4, 11]","7 [5, 12]","8 [5, 13]","8 [5, 14]","9 [5, 16]","9 [6, 17]","10 [6, 19]","11 [6, 21]","12 [7, 23]","12 [7, 26]","13 [7, 28]","14 [8, 31]","15 [8, 35]","16 [8, 38]","17 [9, 42]","19 [9, 47]","20 [10, 52]","21 [10, 57]","23 [11, 63]","25 [11, 69]","26 [12, 77]","28 [12, 85]","30 [13, 93]","33 [14, 103]"
Sonoma,113,"3 [3, 3]","3 [3, 3]","3 [3, 3]","3 [3, 3]","3 [2, 4]","3 [2, 4]","3 [2, 4]","3 [2, 5]","3 [2, 5]","3 [2, 6]","4 [2, 6]","4 [2, 7]","4 [3, 8]","5 [3, 9]","5 [3, 10]","5 [3, 11]","6 [3, 12]","6 [3, 13]","6 [3, 14]","7 [4, 16]","7 [4, 17]","8 [4, 19]","8 [4, 21]","9 [4, 23]","10 [5, 26]","10 [5, 29]","11 [5, 32]","12 [5, 35]","13 [6, 38]","14 [6, 42]","15 [6, 47]"
Stanislaus,108,"7 [7, 7]","7 [7, 7]","7 [7, 8]","7 [6, 9]","7 [6, 9]","7 [6, 10]","8 [5, 11]","8 [5, 12]","8 [5, 13]","9 [6, 15]","9 [6, 16]","10 [6, 18]","11 [6, 20]","11 [7, 22]","12 [7, 24]","13 [7, 27]","14 [8, 29]","15 [8, 33]","16 [9, 36]","17 [9, 40]","19 [10, 44]","20 [10, 48]","21 [11, 53]","23 [11, 59]","25 [12, 65]","26 [12, 72]","28 [13, 79]","30 [13, 87]","32 [14, 97]","35 [15, 107]","37 [16, 118]"
Tulare,101,"2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 3]","2 [2, 3]","2 [2, 3]","2 [2, 3]","2 [1, 4]","2 [2, 4]","3 [2, 4]","3 [2, 5]","3 [2, 5]","3 [2, 6]","3 [2, 6]","4 [2, 7]","4 [2, 8]","4 [2, 9]","4 [2, 10]","5 [3, 11]","5 [3, 12]","6 [3, 13]","6 [3, 14]","6 [3, 16]","7 [3, 17]","7 [3, 19]","8 [4, 21]","8 [4, 23]","9 [4, 26]","10 [4, 29]","10 [4, 32]","11 [5, 35]"
Tuolumne,18,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","1 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]"
Ventura,43,"10 [10, 10]","10 [10, 11]","10 [9, 12]","11 [9, 13]","11 [9, 14]","11 [9, 15]","11 [8, 16]","11 [7, 17]","12 [8, 19]","13 [8, 21]","13 [8, 24]","14 [9, 26]","15 [9, 29]","17 [10, 32]","18 [10, 35]","19 [11, 39]","20 [11, 43]","22 [12, 47]","23 [12, 52]","25 [13, 57]","27 [14, 63]","29 [14, 70]","31 [15, 77]","33 [16, 85]","36 [17, 94]","38 [18, 104]","41 [19, 115]","44 [20, 127]","47 [21, 140]","50 [22, 155]","54 [23, 171]"
Yolo,15,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]","3 [1, 7]","3 [1, 8]","3 [1, 8]","3 [2, 9]","4 [2, 10]","4 [2, 11]","4 [2, 12]","4 [2, 14]"
Yuba,52,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","2 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 4]","2 [1, 5]","3 [1, 5]","3 [1, 6]","3 [2, 6]","3 [2, 7]","3 [2, 8]","4 [2, 9]","4 [2, 10]","4 [2, 11]","4 [2, 12]","5 [2, 13]","5 [2, 14]","5 [2, 16]","6 [3, 17]","6 [3, 19]","7 [3, 21]"
