"","FIPS","num_acute_beds"
"525",17187,23
"526",17189,14
"527",17191,21
"528",17195,98
"529",17197,575
"530",17199,77
"531",17201,530
"532",17203,11
"533",18001,21
"534",18003,663
"535",18005,145
"536",18009,15
"537",18011,26
"538",18017,64
"539",18019,103
"540",18021,15
"541",18023,25
"542",18027,23
"543",18029,43
"544",18031,16
"545",18033,29
"546",18035,209
"547",18037,51
"548",18039,197
"549",18041,0
"550",18043,120
"551",18049,17
"552",18051,20
"553",18053,56
"554",18055,41
"555",18057,231
"556",18059,20
"557",18061,0
"558",18063,158
"559",18065,0
"560",18067,23
"561",18069,24
"562",18071,68
"563",18073,42
"564",18075,20
"565",18077,58
"566",18079,17
"567",18081,55
"568",18083,56
"569",18085,46
"570",18087,17
"571",18089,575
"572",18091,63
"573",18093,44
"574",18095,174
"575",18097,1850
"576",18099,49
"577",18103,15
"578",18105,142
"579",18107,24
"580",18109,0
"581",18113,22
"582",18117,25
"583",18123,16
"584",18127,0
"585",18131,19
"586",18133,0
"587",18135,14
"588",18137,14
"589",18139,25
"590",18141,217
"591",18143,0
"592",18145,26
"593",18149,15
"594",18151,20
"595",18153,18
"596",18157,221
"597",18159,19
"598",18163,661
"599",18165,17
"600",18167,141
"601",18169,14
"602",18171,16
"603",18173,47
"604",18175,25
"605",18177,105
"606",18179,24
"607",18181,25
"608",18183,21
"609",19001,17
"610",19003,22
"611",19005,20
"612",19007,22
"613",19009,25
"614",19011,25
"615",19013,256
"616",19015,21
"617",19017,31
"618",19019,19
"619",19021,15
"620",19025,21
"621",19027,64
"622",19029,17
"623",19033,114
"624",19035,22
"625",19037,16
"626",19039,25
"627",19041,34
"628",19043,35
"629",19045,49
"630",19047,19
"631",19049,10
"632",19051,13
"633",19053,11
"634",19055,20
"635",19057,94
"636",19059,22
"637",19061,166
"638",19063,18
"639",19065,38
"640",19067,21
"641",19069,25
"642",19071,10
"643",19073,25
"644",19075,15
"645",19077,10
"646",19079,21
"647",19081,25
"648",19083,18
"649",19085,16
"650",19087,13
"651",19089,8
"652",19091,21
"653",19093,20
"654",19095,25
"655",19097,12
"656",19099,17
"657",19101,23
"658",19103,560
"659",19105,22
"660",19107,14
"661",19109,18
"662",19111,76
"663",19113,286
"664",19117,21
"665",19119,14
"666",19121,23
"667",19123,17
"668",19125,42
"669",19127,25
"670",19131,25
"671",19133,19
"672",19135,25
"673",19137,17
"674",19139,29
"675",19141,31
"676",19143,17
"677",19145,40
"678",19147,22
"679",19149,21
"680",19151,20
"681",19153,1005
"682",19155,120
"683",19157,32
"684",19159,16
"685",19161,25
"686",19163,295
"687",19165,22
"688",19167,64
"689",19169,120
"690",19175,18
"691",19177,14
"692",19179,39
"693",19183,22
"694",19185,20
"695",19187,30
"696",19191,25
"697",19193,187
"698",19197,44
"699",20001,20
"700",20003,12
"701",20005,15
"702",20007,33
"703",20009,38
"704",20013,17
"705",20015,72
"706",20019,10
"707",20021,18
"708",20023,16
"709",20025,43
"710",20027,20
"711",20029,20
"712",20031,19
"713",20033,12
"714",20035,43
"715",20037,81
"716",20039,12
"717",20041,20
"718",20045,58
"719",20047,0
"720",20051,54
"721",20053,19
"722",20055,48
"723",20057,18
"724",20059,27
"725",20061,35
"726",20063,21
"727",20065,20
"728",20067,22
"729",20071,18
"730",20073,25
"731",20075,25
"732",20077,9
"733",20079,60
"734",20081,13
"735",20083,8
"736",20085,11
"737",20087,15
"738",20089,25
"739",20091,428
"740",20093,16
"741",20095,19
"742",20097,15
"743",20099,37
"744",20101,25
"745",20103,28
"746",20105,14
"747",20109,25
"748",20111,0
"749",20113,48
"750",20115,15
"751",20117,13
"752",20119,15
"753",20121,18
"754",20123,25
"755",20125,50
"756",20127,21
"757",20129,24
"758",20131,45
"759",20133,25
"760",20135,37
"761",20137,13
"762",20141,21
"763",20143,25
"764",20145,22
"765",20147,25
"766",20149,43
"767",20151,23
"768",20153,15
"769",20155,88
"770",20157,25
"771",20159,25
"772",20161,63
"773",20163,6
"774",20165,25
"775",20167,25
"776",20169,129
"777",20171,10
"778",20173,645
"779",20175,35
"780",20177,365
"781",20179,18
"782",20181,0
"783",20183,25
"784",20185,15
"785",20187,13
"786",20189,17
"787",20191,7
"788",20193,21
"789",20195,25
"790",20201,37
"791",20203,25
"792",20205,40
"793",20209,594
"794",21001,0
"795",21003,25
"796",21009,0
"797",21013,30
"798",21015,51
"799",21017,17
"800",21019,89
"801",21021,0
"802",21025,0
"803",21027,0
"804",21033,0
"805",21035,66
"806",21037,61
"807",21041,0
"808",21045,0
"809",21047,0
"810",21049,0
"811",21051,0
"812",21053,0
"813",21055,0
"814",21057,0
"815",21059,199
"816",21065,25
"817",21067,1097
"818",21069,0
"819",21071,25
"820",21073,0
"821",21081,16
"822",21083,0
"823",21085,0
"824",21087,0
"825",21093,103
"826",21095,44
"827",21097,20
"828",21099,0
"829",21101,69
"830",21107,134
"831",21111,1553
"832",21115,0
"833",21117,168
"834",21121,19
"835",21125,0
"836",21127,65
"837",21131,25
"838",21133,72
"839",21137,0
"840",21139,0
"841",21141,24
"842",21145,248
"843",21151,61
"844",21155,0
"845",21157,25
"846",21161,83
"847",21167,0
"848",21171,0
