"","FIPS","num_icu_beds"
"613",19009,0
"614",19011,0
"615",19013,41
"616",19015,0
"617",19017,0
"618",19019,0
"619",19021,5
"620",19025,0
"621",19027,6
"622",19029,4
"623",19033,18
"624",19035,0
"625",19037,0
"626",19039,0
"627",19041,9
"628",19043,0
"629",19045,10
"630",19047,2
"631",19049,0
"632",19051,0
"633",19053,0
"634",19055,0
"635",19057,10
"636",19059,3
"637",19061,18
"638",19063,3
"639",19065,0
"640",19067,0
"641",19069,0
"642",19071,0
"643",19073,0
"644",19075,0
"645",19077,0
"646",19079,0
"647",19081,0
"648",19083,0
"649",19085,0
"650",19087,2
"651",19089,0
"652",19091,0
"653",19093,0
"654",19095,0
"655",19097,0
"656",19099,3
"657",19101,2
"658",19103,114
"659",19105,0
"660",19107,0
"661",19109,1
"662",19111,11
"663",19113,44
"664",19117,2
"665",19119,0
"666",19121,0
"667",19123,3
"668",19125,2
"669",19127,0
"670",19131,0
"671",19133,4
"672",19135,0
"673",19137,8
"674",19139,5
"675",19141,0
"676",19143,0
"677",19145,2
"678",19147,0
"679",19149,0
"680",19151,0
"681",19153,123
"682",19155,51
"683",19157,6
"684",19159,0
"685",19161,0
"686",19163,46
"687",19165,0
"688",19167,2
"689",19169,14
"690",19175,2
"691",19177,0
"692",19179,10
"693",19183,0
"694",19185,2
"695",19187,9
"696",19191,0
"697",19193,31
"698",19197,0
"699",20001,0
"700",20003,0
"701",20005,4
"702",20007,0
"703",20009,0
"704",20013,2
"705",20015,14
"706",20019,0
"707",20021,0
"708",20023,0
"709",20025,0
"710",20027,2
"711",20029,4
"712",20031,4
"713",20033,0
"714",20035,6
"715",20037,8
"716",20039,0
"717",20041,0
"718",20045,10
"719",20047,0
"720",20051,12
"721",20053,0
"722",20055,8
"723",20057,10
"724",20059,8
"725",20061,6
"726",20063,0
"727",20065,0
"728",20067,0
"729",20071,0
"730",20073,0
"731",20075,0
"732",20077,0
"733",20079,6
"734",20081,0
"735",20083,0
"736",20085,0
"737",20087,0
"738",20089,0
