"","FIPS","num_icu_beds"
"1208",24510,508
"1209",25001,34
"1210",25003,24
"1211",25005,96
"1212",25007,0
"1213",25009,98
"1214",25011,6
"1215",25013,119
"1216",25015,11
"1217",25017,216
"1218",25019,0
"1219",25021,59
"1220",25023,47
"1221",25025,447
"1222",25027,169
"1223",26001,0
"1224",26003,0
"1225",26005,0
"1226",26007,9
"1227",26009,0
"1228",26011,5
"1229",26013,0
"1230",26015,0
"1231",26017,32
"1232",26019,0
"1233",26021,20
"1234",26023,10
"1235",26025,32
"1236",26027,0
"1237",26029,0
"1238",26031,0
"1239",26033,6
"1240",26035,0
"1241",26037,2
"1242",26039,6
"1243",26041,9
"1244",26043,6
"1245",26045,0
"1246",26047,58
"1247",26049,151
"1248",26051,0
"1249",26053,5
"1250",26055,20
"1251",26057,0
"1252",26059,4
"1253",26061,5
"1254",26063,4
"1255",26065,219
"1256",26067,2
"1257",26069,4
"1258",26071,3
"1259",26073,8
"1260",26075,51
"1261",26077,34
"1262",26079,0
"1263",26081,150
"1264",26083,0
"1265",26085,0
"1266",26087,10
"1267",26089,0
"1268",26091,0
"1269",26093,8
"1270",26095,0
"1271",26097,0
"1272",26099,122
"1273",26101,0
"1274",26103,30
"1275",26105,6
"1276",26107,4
"1277",26109,0
"1278",26111,26
"1279",26113,0
"1280",26115,0
"1281",26117,12
"1282",26119,0
"1283",26121,37
"1284",26123,9
"1285",26125,409
"1286",26127,0
"1287",26129,10
"1288",26131,0
"1289",26133,4
"1290",26135,0
"1291",26137,4
"1292",26139,22
"1293",26141,0
"1294",26143,0
"1295",26145,133
"1296",26147,23
"1297",26149,8
"1298",26151,0
"1299",26153,0
"1300",26155,7
"1301",26157,0
"1302",26159,0
"1303",26161,92
"1304",26163,586
"1305",26165,6
"1306",27001,4
"1307",27003,35
"1308",27005,8
"1309",27007,10
"1310",27009,0
"1311",27011,0
"1312",27013,29
"1313",27015,0
"1314",27017,6
"1315",27019,25
"1316",27021,0
"1317",27023,0
"1318",27025,10
"1319",27027,0
"1320",27029,0
"1321",27031,0
"1322",27033,0
"1323",27035,16
"1324",27037,12
"1325",27039,0
"1326",27041,8
"1327",27043,4
"1328",27045,0
"1329",27047,18
"1330",27049,4
"1331",27051,0
"1332",27053,311
"1333",27055,0
"1334",27057,0
"1335",27059,0
"1336",27061,9
"1337",27063,0
"1338",27065,4
"1339",27067,8
"1340",27069,0
"1341",27071,0
"1342",27073,0
"1343",27075,0
"1344",27077,0
"1345",27079,0
"1346",27081,0
"1347",27083,0
"1348",27085,6
"1349",27087,0
"1350",27089,0
"1351",27091,0
"1352",27093,0
"1353",27095,4
"1354",27097,6
"1355",27099,0
"1356",27101,0
"1357",27103,0
"1358",27105,0
"1359",27107,0
"1360",27109,218
"1361",27111,5
"1362",27113,0
"1363",27115,0
"1364",27117,0
"1365",27119,5
"1366",27121,0
"1367",27123,135
"1368",27125,0
"1369",27127,0
"1370",27129,0
"1371",27131,4
"1372",27133,0
"1373",27135,0
"1374",27137,179
"1375",27139,0
"1376",27141,0
"1377",27143,0
