FIPS,State,County,population,hospitalizations_per_case,severe_cases_rate,critical_case_rate,case_fatality_rate
18149,Indiana,Starke County,22941,0.0778303910030077,0.0537238295192014,0.0241065614838063,0.00892913473693387
18151,Indiana,Steuben County,34474,0.0807224284968382,0.0553206923478564,0.0254017361489818,0.00948188953994315
18153,Indiana,Sullivan County,20792,0.0755322239322817,0.0525639880723355,0.0229682358599461,0.0089860417468257
18155,Indiana,Switzerland County,10628,0.0760796010538201,0.0526320753669552,0.0234475256868649,0.00875014866390666
18157,Indiana,Tippecanoe County,189294,0.0544975276553932,0.0389399749384555,0.0155575527169377,0.00583830380255053
18159,Indiana,Tipton County,15218,0.0842507556840583,0.0565789622157971,0.0276717934682613,0.0108740925220134
18161,Indiana,Union County,7153,0.0801337900181742,0.0549228744582693,0.0252109155599049,0.00951869425415909
18163,Indiana,Vanderburgh County,181313,0.0733981622939337,0.050289772790699,0.0231083895032347,0.00875918946793666
18165,Indiana,Vermillion County,15560,0.0816573264781491,0.0556503765424165,0.0260069499357326,0.00973877892030848
18167,Indiana,Vigo County,107693,0.0695313622983852,0.0479351744031646,0.0215961878952207,0.00825117268531845
18169,Indiana,Wabash County,31631,0.0826474977079447,0.0545773634409282,0.0280701342670165,0.0110004590433436
18171,Indiana,Warren County,8247,0.0840377106826725,0.0570844630774827,0.0269532476051898,0.0105362362071056
18173,Indiana,Warrick County,61928,0.0745799153856091,0.0521629851117427,0.0224169302738664,0.00831716444903759
18175,Indiana,Washington County,27827,0.0761434218564703,0.0529414471915765,0.0232019746648938,0.00848771624681065
18177,Indiana,Wayne County,66613,0.0797794274390885,0.0534912327773858,0.0262881946617027,0.0101864900244697
18179,Indiana,Wells County,27947,0.0763904891401582,0.0518305013060436,0.0245599878341146,0.00943249221741153
18181,Indiana,White County,24217,0.0811919312879382,0.0546707972085725,0.0265211340793657,0.00998526407069414
18183,Indiana,Whitley County,33649,0.0771015483372463,0.0531424016761271,0.0239591466611192,0.00900058426699159
19001,Iowa,Adair County,7124,0.0906325098259405,0.0581029663110612,0.0325295435148793,0.0127235289163391
19003,Iowa,Adams County,3726,0.0915952764358561,0.0597828062265164,0.0318124702093398,0.0124658561460011
19005,Iowa,Allamakee County,13880,0.0868953890489914,0.0568646406340058,0.0300307484149856,0.0115521945244957
19007,Iowa,Appanoose County,12510,0.0902748201438849,0.0581989386890488,0.0320758814548361,0.0124965851318945
