Year,GEO,Age group,VALUE
2019,Prince Edward Island,73 years,1512
2019,Prince Edward Island,74 years,1340
2019,Prince Edward Island,75 to 79 years,5344
2019,Prince Edward Island,75 years,1324
2019,Prince Edward Island,76 years,1116
2019,Prince Edward Island,77 years,1033
2019,Prince Edward Island,78 years,974
2019,Prince Edward Island,79 years,897
2019,Prince Edward Island,80 to 84 years,3567
2019,Prince Edward Island,80 years,817
2019,Prince Edward Island,81 years,759
2019,Prince Edward Island,82 years,727
2019,Prince Edward Island,83 years,675
2019,Prince Edward Island,84 years,589
2019,Prince Edward Island,85 to 89 years,2109
2019,Prince Edward Island,85 years,536
2019,Prince Edward Island,86 years,498
2019,Prince Edward Island,87 years,411
2019,Prince Edward Island,88 years,358
2019,Prince Edward Island,89 years,306
2019,Prince Edward Island,90 to 94 years,925
2019,Prince Edward Island,90 years,241
2019,Prince Edward Island,91 years,232
2019,Prince Edward Island,92 years,180
2019,Prince Edward Island,93 years,154
2019,Prince Edward Island,94 years,118
2019,Prince Edward Island,95 to 99 years,281
2019,Prince Edward Island,95 years,89
2019,Prince Edward Island,96 years,59
2019,Prince Edward Island,97 years,61
2019,Prince Edward Island,98 years,45
2019,Prince Edward Island,99 years,27
2019,Prince Edward Island,100 years and over,51
2019,Prince Edward Island,0 to 14 years,24533
2019,Prince Edward Island,0 to 15 years,26298
2019,Prince Edward Island,0 to 16 years,28055
2019,Prince Edward Island,0 to 17 years,29762
2019,Prince Edward Island,15 to 49 years,67580
2019,Prince Edward Island,15 to 64 years,101430
2019,Prince Edward Island,16 to 64 years,99665
2019,Prince Edward Island,17 to 64 years,97908
2019,Prince Edward Island,18 years and over,127185
2019,Prince Edward Island,18 to 64 years,96201
2019,Prince Edward Island,18 to 24 years,14579
2019,Prince Edward Island,25 to 44 years,37436
2019,Prince Edward Island,45 to 64 years,44186
2019,Prince Edward Island,65 years and over,30984
2019,Prince Edward Island,90 years and over,1257
2019,Nova Scotia,All ages,971395
2019,Nova Scotia,0 to 4 years,43220
2019,Nova Scotia,0 years,8477
2019,Nova Scotia,1 year,8448
2019,Nova Scotia,2 years,8550
2019,Nova Scotia,3 years,8895
2019,Nova Scotia,4 years,8850
2019,Nova Scotia,5 to 9 years,46270
2019,Nova Scotia,5 years,8776
2019,Nova Scotia,6 years,9056
2019,Nova Scotia,7 years,9373
2019,Nova Scotia,8 years,9309
2019,Nova Scotia,9 years,9756
2019,Nova Scotia,10 to 14 years,47157
2019,Nova Scotia,10 years,9610
2019,Nova Scotia,11 years,9679
2019,Nova Scotia,12 years,9287
2019,Nova Scotia,13 years,9290
2019,Nova Scotia,14 years,9291
2019,Nova Scotia,15 to 19 years,51479
2019,Nova Scotia,15 years,9577
