Year,GEO,Age group,VALUE
2019,Northwest Territories,46 years,578
2019,Northwest Territories,47 years,630
2019,Northwest Territories,48 years,620
2019,Northwest Territories,49 years,671
2019,Northwest Territories,50 to 54 years,3312
2019,Northwest Territories,50 years,645
2019,Northwest Territories,51 years,609
2019,Northwest Territories,52 years,615
2019,Northwest Territories,53 years,680
2019,Northwest Territories,54 years,763
2019,Northwest Territories,55 to 59 years,3265
2019,Northwest Territories,55 years,756
2019,Northwest Territories,56 years,691
2019,Northwest Territories,57 years,646
2019,Northwest Territories,58 years,612
2019,Northwest Territories,59 years,560
2019,Northwest Territories,60 to 64 years,2594
2019,Northwest Territories,60 years,573
2019,Northwest Territories,61 years,529
2019,Northwest Territories,62 years,532
2019,Northwest Territories,63 years,506
2019,Northwest Territories,64 years,454
2019,Northwest Territories,65 to 69 years,1656
2019,Northwest Territories,65 years,407
2019,Northwest Territories,66 years,360
2019,Northwest Territories,67 years,320
2019,Northwest Territories,68 years,320
2019,Northwest Territories,69 years,249
2019,Northwest Territories,70 to 74 years,982
2019,Northwest Territories,70 years,241
2019,Northwest Territories,71 years,208
2019,Northwest Territories,72 years,203
2019,Northwest Territories,73 years,177
2019,Northwest Territories,74 years,153
2019,Northwest Territories,75 to 79 years,549
2019,Northwest Territories,75 years,174
2019,Northwest Territories,76 years,123
2019,Northwest Territories,77 years,104
2019,Northwest Territories,78 years,80
2019,Northwest Territories,79 years,68
2019,Northwest Territories,80 to 84 years,294
2019,Northwest Territories,80 years,78
2019,Northwest Territories,81 years,61
2019,Northwest Territories,82 years,70
2019,Northwest Territories,83 years,43
2019,Northwest Territories,84 years,42
2019,Northwest Territories,85 to 89 years,153
2019,Northwest Territories,85 years,38
2019,Northwest Territories,86 years,38
2019,Northwest Territories,87 years,31
2019,Northwest Territories,88 years,23
2019,Northwest Territories,89 years,23
2019,Northwest Territories,90 to 94 years,62
2019,Northwest Territories,90 years,17
2019,Northwest Territories,91 years,19
2019,Northwest Territories,92 years,13
2019,Northwest Territories,93 years,6
2019,Northwest Territories,94 years,7
2019,Northwest Territories,95 to 99 years,19
2019,Northwest Territories,95 years,5
2019,Northwest Territories,96 years,4
2019,Northwest Territories,97 years,4
2019,Northwest Territories,98 years,3
2019,Northwest Territories,99 years,3
2019,Northwest Territories,100 years and over,4
2019,Northwest Territories,0 to 14 years,9033
2019,Northwest Territories,0 to 15 years,9605
2019,Northwest Territories,0 to 16 years,10140
2019,Northwest Territories,0 to 17 years,10672
2019,Northwest Territories,15 to 49 years,22903
2019,Northwest Territories,15 to 64 years,32074
2019,Northwest Territories,16 to 64 years,31502
2019,Northwest Territories,17 to 64 years,30967
2019,Northwest Territories,18 years and over,34154
2019,Northwest Territories,18 to 64 years,30435
2019,Northwest Territories,18 to 24 years,4228
2019,Northwest Territories,25 to 44 years,13993
2019,Northwest Territories,45 to 64 years,12214
2019,Northwest Territories,65 years and over,3719
2019,Northwest Territories,90 years and over,85
2019,Nunavut,All ages,38780
2019,Nunavut,0 to 4 years,4248
2019,Nunavut,0 years,892
2019,Nunavut,1 year,860
2019,Nunavut,2 years,840
2019,Nunavut,3 years,800
2019,Nunavut,4 years,856
2019,Nunavut,5 to 9 years,4289
2019,Nunavut,5 years,891
2019,Nunavut,6 years,866
2019,Nunavut,7 years,815
2019,Nunavut,8 years,830
2019,Nunavut,9 years,887
2019,Nunavut,10 to 14 years,3811
2019,Nunavut,10 years,819
2019,Nunavut,11 years,807
2019,Nunavut,12 years,766
2019,Nunavut,13 years,730
2019,Nunavut,14 years,689
2019,Nunavut,15 to 19 years,3267
2019,Nunavut,15 years,694
2019,Nunavut,16 years,641
2019,Nunavut,17 years,641
2019,Nunavut,18 years,619
2019,Nunavut,19 years,672
2019,Nunavut,20 to 24 years,3052
2019,Nunavut,20 years,580
2019,Nunavut,21 years,620
2019,Nunavut,22 years,617
2019,Nunavut,23 years,616
2019,Nunavut,24 years,619
2019,Nunavut,25 to 29 years,3273
2019,Nunavut,25 years,611
2019,Nunavut,26 years,609
2019,Nunavut,27 years,642
2019,Nunavut,28 years,732
2019,Nunavut,29 years,679
2019,Nunavut,30 to 34 years,3109
2019,Nunavut,30 years,700
2019,Nunavut,31 years,646
2019,Nunavut,32 years,569
2019,Nunavut,33 years,589
2019,Nunavut,34 years,605
2019,Nunavut,35 to 39 years,2672
2019,Nunavut,35 years,550
2019,Nunavut,36 years,521
2019,Nunavut,37 years,528
2019,Nunavut,38 years,543
2019,Nunavut,39 years,530
2019,Nunavut,40 to 44 years,2201
2019,Nunavut,40 years,495
2019,Nunavut,41 years,489
2019,Nunavut,42 years,418
2019,Nunavut,43 years,416
2019,Nunavut,44 years,383
2019,Nunavut,45 to 49 years,2218
2019,Nunavut,45 years,418
2019,Nunavut,46 years,395
2019,Nunavut,47 years,453
2019,Nunavut,48 years,487
2019,Nunavut,49 years,465
2019,Nunavut,50 to 54 years,2257
2019,Nunavut,50 years,472
2019,Nunavut,51 years,472
2019,Nunavut,52 years,439
2019,Nunavut,53 years,436
2019,Nunavut,54 years,438
2019,Nunavut,55 to 59 years,1740
2019,Nunavut,55 years,431
2019,Nunavut,56 years,360
2019,Nunavut,57 years,333
2019,Nunavut,58 years,305
2019,Nunavut,59 years,311
2019,Nunavut,60 to 64 years,1095
2019,Nunavut,60 years,252
2019,Nunavut,61 years,252
2019,Nunavut,62 years,220
2019,Nunavut,63 years,190
2019,Nunavut,64 years,181
2019,Nunavut,65 to 69 years,675
2019,Nunavut,65 years,170
2019,Nunavut,66 years,127
2019,Nunavut,67 years,150
2019,Nunavut,68 years,127
2019,Nunavut,69 years,101
2019,Nunavut,70 to 74 years,455
2019,Nunavut,70 years,102
2019,Nunavut,71 years,111
2019,Nunavut,72 years,109
2019,Nunavut,73 years,75
2019,Nunavut,74 years,58
2019,Nunavut,75 to 79 years,229
2019,Nunavut,75 years,61
2019,Nunavut,76 years,52
2019,Nunavut,77 years,44
2019,Nunavut,78 years,44
2019,Nunavut,79 years,28
2019,Nunavut,80 to 84 years,116
2019,Nunavut,80 years,35
2019,Nunavut,81 years,27
2019,Nunavut,82 years,18
2019,Nunavut,83 years,21
2019,Nunavut,84 years,15
2019,Nunavut,85 to 89 years,48
2019,Nunavut,85 years,11
2019,Nunavut,86 years,12
2019,Nunavut,87 years,12
2019,Nunavut,88 years,8
2019,Nunavut,89 years,5
2019,Nunavut,90 to 94 years,18
2019,Nunavut,90 years,7
2019,Nunavut,91 years,5
2019,Nunavut,92 years,2
2019,Nunavut,93 years,4
2019,Nunavut,94 years,0
2019,Nunavut,95 to 99 years,5
2019,Nunavut,95 years,2
2019,Nunavut,96 years,1
2019,Nunavut,97 years,0
2019,Nunavut,98 years,1
2019,Nunavut,99 years,1
2019,Nunavut,100 years and over,2
2019,Nunavut,0 to 14 years,12348
2019,Nunavut,0 to 15 years,13042
2019,Nunavut,0 to 16 years,13683
2019,Nunavut,0 to 17 years,14324
2019,Nunavut,15 to 49 years,19792
2019,Nunavut,15 to 64 years,24884
2019,Nunavut,16 to 64 years,24190
2019,Nunavut,17 to 64 years,23549
2019,Nunavut,18 years and over,24456
2019,Nunavut,18 to 64 years,22908
2019,Nunavut,18 to 24 years,4343
2019,Nunavut,25 to 44 years,11255
2019,Nunavut,45 to 64 years,7310
2019,Nunavut,65 years and over,1548
2019,Nunavut,90 years and over,25
