age_decade,area,pruid,population_in_age_group,hospitalizations_per_case,severe_cases_rate,critical_case_rate,case_fatality_rate,num_acute_beds,num_icu_beds,Cases
70-79,Yukon,60,2220,0.243,0.138024,0.104976,0.051,55,0,6
80+,Alberta,48,135816,0.273,0.079443,0.193557,0.093,5741,671,1075
80+,British Columbia,59,229322,0.273,0.079443,0.193557,0.093,5862,607,1174
80+,Manitoba,46,54504,0.273,0.079443,0.193557,0.093,2885,246,164
80+,New Brunswick,13,37586,0.273,0.079443,0.193557,0.093,1448,144,95
80+,Newfoundland and Labrador,10,22134,0.273,0.079443,0.193557,0.093,1048,92,183
80+,Northwest Territories,61,532,0.273,0.079443,0.193557,0.093,0,0,4
80+,Nova Scotia,12,46172,0.273,0.079443,0.193557,0.093,1832,123,207
80+,Nunavut,62,189,0.273,0.079443,0.193557,0.093,,,0
80+,Ontario,35,642571,0.273,0.079443,0.193557,0.093,15072,1678,3255
80+,Prince Edward Island,11,6933,0.273,0.079443,0.193557,0.093,295,24,22
80+,Quebec,24,398166,0.273,0.079443,0.193557,0.093,,,6101
80+,Saskatchewan,47,50262,0.273,0.079443,0.193557,0.093,2198,106,220
80+,Yukon,60,780,0.273,0.079443,0.193557,0.093,55,0,6
